t_ms,rawX,rawY,rawZ,rawG,sixX,sixY,sixZ,sixG,calX,calY,calZ,calG,calByte,zeroRef
2007,511,507,404,6,512,507,404,6,510,506,400,1018,124,512
2008,511,507,404,6,512,507,404,6,510,506,400,1018,124,512
2016,511,507,404,6,512,507,404,6,510,506,400,1018,124,512
2026,511,507,402,6,512,507,402,6,510,506,399,1018,124,512
2036,511,507,404,6,512,507,404,6,510,506,400,1018,124,512
2046,511,507,403,6,512,507,403,6,510,506,399,1018,124,512
2056,512,507,402,6,511,507,402,6,511,506,399,1018,124,512
2066,511,507,404,6,512,507,404,6,510,506,400,1018,124,512
